Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-137384,125471,Error on alerts settings page,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,01/Sep/25 1:36 PM,03/Sep/25 7:52 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-137417,125548,Fix parent slide-in not reappearing after closing child slide-in,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,03/Sep/25 1:12 PM,03/Sep/25 6:39 PM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137360,125391,Auto Generated SSH Keypair requires refresh to display on new SSH Connection creation,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,29/Aug/25 11:21 AM,03/Sep/25 10:45 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),SCALE-25.10-RC.1 (Goldeye),,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Bug
NAS-137350,125352,25.10-BETA.1 will not upgrade if there are 3 or more partitions and one is not BIOS,N/A,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,28/Aug/25 5:16 PM,03/Sep/25 8:58 AM,High,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Bug
NAS-136321,123031,Show TNC icon by default,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,13/Jun/25 11:08 AM,03/Sep/25 8:09 AM,High,Complete,SCALE-25.10-ALPHA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,july-2510,,,Improvement
NAS-137385,125472,Disk temperature threshold alert,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,01/Sep/25 1:40 PM,03/Sep/25 6:25 AM,High,Complete,SCALE-25.10-BETA.1 (Goldeye),,,,COMMUNITY_USER,waiting_for_feedback,,,Bug
NAS-137326,125296,Use common error code for `NetworkActivityDisabled` (`ENONET`),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,27/Aug/25 7:05 AM,03/Sep/25 4:37 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137404,125516,Add a progress message for NFSv4 ACLs,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,02/Sep/25 3:49 PM,02/Sep/25 4:11 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-136352,123158,Save webserver logs: We need to configure nginx to keep logs rather than sending them to /dev/null.,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),SCALE-26.04-BETA.1 (Halfmoon),Done,17/Jun/25 10:03 AM,02/Sep/25 11:53 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,Engineering Private,IX_EMPLOYEE,,,,New Feature
NAS-136353,123161,"Web Server STIG For STIG mode, the nginx configuration needs to change a bit",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),SCALE-26.04-BETA.1 (Halfmoon),Done,17/Jun/25 10:06 AM,02/Sep/25 11:53 AM,High,Complete,,,,Engineering Private,IX_EMPLOYEE,,,,New Feature
